match_id,competition,matchday,date,home_team,away_team,match_ended_in,home_score,away_score,winner
1183762,LaLiga,7,1999-10-13,FC Barcelona,Real Madrid,Main time,2,2,Draw
2193770,LaLiga,22,1999-02-14,FC Barcelona,Real Madrid,Main time,3,0,FC Barcelona
2193511,LaLiga,3,1998-09-19,Real Madrid,FC Barcelona,Main time,2,2,Draw
2208517,LaLiga,28,1998-03-07,FC Barcelona,Real Madrid,Main time,3,0,FC Barcelona
2208329,LaLiga,9,1997-11-01,Real Madrid,FC Barcelona,Main time,2,3,FC Barcelona
2424034,Supercopa,final,1997-08-23,Real Madrid,FC Barcelona,Main time,4,1,Real Madrid
2424033,Supercopa,final,1997-08-20,FC Barcelona,Real Madrid,Main time,2,1,FC Barcelona
2290789,LaLiga,37,1997-05-10,FC Barcelona,Real Madrid,Main time,1,0,FC Barcelona
2422570,Copa del Rey,last 16,1997-02-06,Real Madrid,FC Barcelona,Main time,1,1,Draw
2422562,Copa del Rey,last 16,1997-01-30,FC Barcelona,Real Madrid,Main time,3,2,FC Barcelona
2291195,LaLiga,16,1996-12-07,Real Madrid,FC Barcelona,Main time,2,0,Real Madrid
2350104,LaLiga,26,1996-02-10,FC Barcelona,Real Madrid,Main time,3,0,FC Barcelona
2349872,LaLiga,5,1995-09-30,Real Madrid,FC Barcelona,Main time,1,1,Draw
2349429,LaLiga,35,1995-05-27,FC Barcelona,Real Madrid,Main time,1,0,FC Barcelona
2349235,LaLiga,16,1995-01-07,Real Madrid,FC Barcelona,Main time,5,0,Real Madrid
2349074,LaLiga,37,1994-05-07,Real Madrid,FC Barcelona,Main time,0,1,FC Barcelona
2348888,LaLiga,18,1994-01-09,FC Barcelona,Real Madrid,Main time,5,0,FC Barcelona
2424026,Supercopa,final,1993-12-16,FC Barcelona,Real Madrid,Main time,1,1,Draw
2424025,Supercopa,final,1993-12-02,Real Madrid,FC Barcelona,Main time,3,1,Real Madrid
3035063,Copa del Rey,Semi-Finals,1993-06-16,FC Barcelona,Real Madrid,Main time,1,2,Real Madrid
3035065,Copa del Rey,Semi-Finals,1993-06-09,Real Madrid,FC Barcelona,Main time,1,1,Draw
2347699,LaLiga,20,1993-01-30,Real Madrid,FC Barcelona,Main time,2,1,Real Madrid
2347510,LaLiga,1,1992-09-05,FC Barcelona,Real Madrid,Main time,2,1,FC Barcelona
2347369,LaLiga,25,1992-03-07,FC Barcelona,Real Madrid,Main time,1,1,Draw
2347180,LaLiga,6,1991-10-18,Real Madrid,FC Barcelona,Main time,1,1,Draw
2347103,LaLiga,38,1991-06-08,Real Madrid,FC Barcelona,Main time,1,0,Real Madrid
2346913,LaLiga,19,1991-01-19,FC Barcelona,Real Madrid,Main time,2,1,FC Barcelona
2424020,Supercopa,final,1990-12-12,Real Madrid,FC Barcelona,Main time,4,1,Real Madrid
2424019,Supercopa,final,1990-12-05,FC Barcelona,Real Madrid,Main time,0,1,Real Madrid
3038477,Copa del Rey,Final,1990-04-05,FC Barcelona,Real Madrid,Main time,2,0,FC Barcelona
2348430,LaLiga,25,1990-02-15,Real Madrid,FC Barcelona,Main time,3,2,Real Madrid
2327069,LaLiga,6,1989-10-07,FC Barcelona,Real Madrid,Main time,3,1,FC Barcelona
2318800,LaLiga,27,1989-04-01,FC Barcelona,Real Madrid,Main time,0,0,Draw
2317972,LaLiga,8,1988-10-22,Real Madrid,FC Barcelona,Main time,3,2,Real Madrid
2424018,Supercopa,final,1988-09-29,FC Barcelona,Real Madrid,Main time,2,1,FC Barcelona
2424017,Supercopa,final,1988-09-21,Real Madrid,FC Barcelona,Main time,2,0,Real Madrid
2404276,LaLiga,35,1988-04-30,FC Barcelona,Real Madrid,Main time,2,0,FC Barcelona
2404085,LaLiga,16,1988-01-02,Real Madrid,FC Barcelona,Main time,2,1,Real Madrid
2420610,LaLiga,40,1987-05-23,FC Barcelona,Real Madrid,Main time,2,1,FC Barcelona
2420567,LaLiga,35,1987-04-12,Real Madrid,FC Barcelona,Main time,0,0,Draw
2420475,LaLiga,25,1987-01-31,FC Barcelona,Real Madrid,Main time,3,2,FC Barcelona
2420322,LaLiga,8,1986-10-08,Real Madrid,FC Barcelona,Main time,1,1,Draw
3483230,Copa de la Liga (bis 1986),Second Round,1986-05-18,Real Madrid,FC Barcelona,Main time,0,4,FC Barcelona
3483223,Copa de la Liga (bis 1986),Second Round,1986-05-11,FC Barcelona,Real Madrid,Main time,2,2,Draw
