,id,isResult,side,datetime,result,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,forecast.w,forecast.d,forecast.l
19,3934,True,a,2017-02-11 19:45:00,w,157,Osasuna,OSA,150,Real Madrid,RMA,1,3,0.891933,2.36434,0.12456605537071677,0.17410742926492417,0.7013264813989603
20,3952,True,h,2017-02-18 15:15:00,w,150,Real Madrid,RMA,141,Espanyol,ESP,2,0,1.2723,0.070793,0.6949021784573312,0.2850833693324188,0.020014452201628074
21,3954,True,a,2017-02-22 17:45:00,l,146,Valencia,VAL,150,Real Madrid,RMA,2,1,0.832853,0.99003,0.29487229890452615,0.3248830938503275,0.38024460724486314
22,3962,True,a,2017-02-26 19:45:00,w,154,Villarreal,VIL,150,Real Madrid,RMA,2,3,1.12868,3.35567,0.08816529553576119,0.11623274054256522,0.7955993734628185
23,3965,True,h,2017-03-01 20:30:00,d,150,Real Madrid,RMA,144,Las Palmas,LPL,3,3,3.09385,2.1904,0.5666559079948266,0.16618500123309815,0.2671581024559561
24,3982,True,a,2017-03-04 15:15:00,w,156,Eibar,EIB,150,Real Madrid,RMA,1,4,1.2014,2.0593,0.21769683184578095,0.2108679890605706,0.5714351734110509
25,3989,True,h,2017-03-12 19:45:00,w,150,Real Madrid,RMA,153,Real Betis,BET,2,1,1.00957,0.465085,0.4832260964985952,0.3496060126281269,0.16716789087293513
26,3999,True,a,2017-03-18 15:15:00,w,147,Athletic Club,ATH,150,Real Madrid,RMA,1,2,1.96298,2.09036,0.3730164965159973,0.20515581478585423,0.4218276787645319
27,4005,True,h,2017-04-02 15:15:00,w,150,Real Madrid,RMA,158,Alaves,ALA,3,0,1.54447,1.16793,0.4599671673834461,0.2522403542850278,0.2877924782063655
28,4019,True,a,2017-04-05 20:30:00,w,159,Leganes,LEG,150,Real Madrid,RMA,2,4,1.67468,2.43202,0.2622786371306923,0.19197541482251196,0.5457458989719505
29,4026,True,h,2017-04-08 15:15:00,d,150,Real Madrid,RMA,143,Atletico Madrid,ATL,1,1,1.35497,1.08371,0.42968102950106846,0.2709005858945482,0.2994183845829351
30,4038,True,a,2017-04-15 15:15:00,w,149,Sporting Gijon,GIJ,150,Real Madrid,RMA,2,3,0.4652,1.66979,0.09846748715558401,0.2295514002058446,0.671981112287191
31,4047,True,h,2017-04-23 19:45:00,l,150,Real Madrid,RMA,148,Barcelona,BAR,2,3,2.89974,2.06086,0.557072248061831,0.17294169238599885,0.26998561204522764
32,4058,True,a,2017-04-26 20:30:00,w,139,Deportivo La Coruna,DEP,150,Real Madrid,RMA,2,6,1.39884,4.95101,0.044880355418966886,0.060257016115788604,0.8946584905933305
33,4068,True,h,2017-04-29 15:15:00,w,150,Real Madrid,RMA,146,Valencia,VAL,2,1,2.41841,0.973391,0.6923784406957506,0.17364073517417614,0.13398077878377856
34,4077,True,a,2017-05-06 19:45:00,w,155,Granada,GRA,150,Real Madrid,RMA,0,4,0.798168,4.01875,0.032549985068741016,0.06397484878643164,0.9034541518599303
35,4086,True,h,2017-05-14 19:00:00,w,150,Real Madrid,RMA,138,Sevilla,SEV,4,1,1.89661,0.878236,0.613097474517087,0.21837861447213944,0.16852390908837628
36,3924,True,a,2017-05-17 20:00:00,w,152,Celta Vigo,CEL,150,Real Madrid,RMA,1,4,0.901276,3.64315,0.051589687315194165,0.08706131321192799,0.8613421823496163
37,4099,True,a,2017-05-21 19:00:00,w,137,Malaga,MAL,150,Real Madrid,RMA,0,2,1.16006,2.55304,0.15361200381610604,0.17147059653880728,0.6749173094422055
0,7886,True,a,2017-08-20 21:15:00,w,139,Deportivo La Coruna,DEP,150,Real Madrid,RMA,0,3,1.48262,2.38821,0.23122115430733947,0.1922356330114075,0.5765431739874275
1,7897,True,h,2017-08-27 21:15:00,d,150,Real Madrid,RMA,146,Valencia,VAL,2,2,3.38691,0.90594,0.8365451147547807,0.10111312753536719,0.06233886562614817
2,7899,True,h,2017-09-09 12:00:00,d,150,Real Madrid,RMA,151,Levante,LEV,1,1,3.18354,0.757405,0.8408206650574568,0.10334530578352695,0.05583265059143363
3,7910,True,a,2017-09-17 19:45:00,w,140,Real Sociedad,SOC,150,Real Madrid,RMA,1,3,0.375385,2.88229,0.028116127058353195,0.09281994177603575,0.8790635210612954
4,7920,True,h,2017-09-20 21:00:00,l,150,Real Madrid,RMA,153,Real Betis,BET,0,1,3.39115,1.21251,0.7853437407368067,0.11875545233612045,0.09589787156979598
5,7931,True,a,2017-09-23 15:15:00,w,158,Alaves,ALA,150,Real Madrid,RMA,1,2,0.703287,2.7181,0.07133029171103165,0.13211409015732722,0.7965554200398004
6,7941,True,h,2017-10-01 19:45:00,w,150,Real Madrid,RMA,141,Espanyol,ESP,2,0,3.02561,0.278294,0.9079532653932088,0.07482868747514018,0.017217303414253003
7,7953,True,a,2017-10-14 15:15:00,w,142,Getafe,GET,150,Real Madrid,RMA,1,2,0.855336,2.22268,0.13050007210387812,0.18512723406602025,0.6843726784954893
